date,close
2020-12-11,279.97
2020-12-14,279.08
2020-12-15,278.17
2020-12-16,277.07
2020-12-17,277.39
2020-12-18,279.1
2020-12-21,278.45
2020-12-22,279.68
2020-12-23,278.82
2020-12-24,275.6
2020-12-29,281.96
2020-12-30,277.92
2020-12-31,277.59
2021-01-04,280.19
2021-01-05,276.43
2021-01-06,277.18
2021-01-07,280.55
2021-01-08,284.17
2021-01-11,286.56
2021-01-12,283.98
2021-01-13,282.31
2021-01-14,283.48
2021-01-15,282.61
2021-01-18,282.45
2021-01-19,283.31
2021-01-20,282.1
2021-01-21,285.13
2021-01-22,284.31
2021-01-25,284.95
2021-01-26,286.39
2021-01-27,282.74
2021-01-28,279.37
2021-01-29,278.69
2021-02-01,277.74
2021-02-02,282.39
2021-02-03,285.19
2021-02-04,285.99
2021-02-05,288.89
2021-02-08,288.62
2021-02-09,288.76
2021-02-10,287.31
2021-02-11,287.33
2021-02-12,288.8
2021-02-15,287.67
2021-02-16,288.85
2021-02-17,288.38
2021-02-18,286.66
2021-02-19,284.29
2021-02-22,281.15
2021-02-23,279.78
2021-02-24,279.19
2021-02-25,282.33
2021-02-26,279.62
2021-03-01,280.73
2021-03-02,284.91
2021-03-03,283.84
2021-03-04,278.65
2021-03-05,277.58
2021-03-08,282.44
2021-03-09,283.4
2021-03-10,284.25
2021-03-11,286.11
2021-03-12,287.1
2021-03-15,288.57
2021-03-16,291.35
2021-03-17,290.2
2021-03-18,287.9
2021-03-19,286.55
2021-03-22,287.01
2021-03-23,291.13
2021-03-24,290.33
2021-03-25,288.97
2021-03-26,288.99
2021-03-29,292.55
2021-03-30,294.01
2021-03-31,292.97
2021-04-01,293.76
2021-04-06,300.2
2021-04-07,300.31
2021-04-08,302.38
2021-04-09,304.3
2021-04-12,305.53
2021-04-13,306.2
2021-04-14,306.6
2021-04-15,306.95
2021-04-16,308.11
2021-04-19,306.29
2021-04-20,303.62
2021-04-21,302.3
2021-04-22,305.86
2021-04-23,303.34
2021-04-26,306.34
2021-04-27,306.74
2021-04-28,307.6
2021-04-29,307.88
2021-04-30,306.6
2021-05-04,307.83
2021-05-05,305.13
2021-05-06,306.02
2021-05-07,307.78
2021-05-10,305.96
2021-05-11,299.95
2021-05-12,299.18
2021-05-13,295.29
2021-05-14,299.61
2021-05-17,301.84
2021-05-18,299.17
2021-05-19,294.82
2021-05-20,297.05
2021-05-21,298.45
2021-05-24,300.11
2021-05-25,302.39
2021-05-26,301.49
2021-05-27,303.03
2021-05-28,302.2
2021-06-01,302.57
2021-06-02,303.53
2021-06-03,301.14
2021-06-04,303.06
2021-06-07,305.05
2021-06-08,304.95
2021-06-09,304.36
2021-06-10,305.52
2021-06-11,305.54
2021-06-14,307.25
2021-06-15,308.42
2021-06-16,307.14
2021-06-17,309.11
2021-06-18,309.99
2021-06-21,306.46
2021-06-22,310.68
2021-06-23,310.42
2021-06-24,310.78
2021-06-25,313.38
2021-06-28,314.21
2021-06-29,316.53
2021-06-30,316.1
2021-07-01,318.17
2021-07-02,321.09
2021-07-05,320.68
2021-07-06,320.96
2021-07-07,320.88
2021-07-08,319.11
2021-07-09,319.71
2021-07-12,322.11
2021-07-13,323.24
2021-07-14,322.0
2021-07-15,322.09
2021-07-16,322.64
2021-07-19,320.1
2021-07-20,319.54
2021-07-21,324.65
2021-07-22,323.56
2021-07-23,324.87
2021-07-26,326.98
2021-07-27,327.6
2021-07-28,324.06
2021-07-29,322.06
2021-07-30,320.78
2021-08-02,323.17
2021-08-03,321.75
2021-08-04,324.54
2021-08-05,323.26
2021-08-06,325.39
2021-08-09,326.63
2021-08-10,326.83
2021-08-11,328.19
2021-08-12,328.23
2021-08-13,330.29
2021-08-16,329.59
2021-08-17,332.06
2021-08-18,330.7
2021-08-19,326.21
2021-08-20,330.77
2021-08-23,332.14
2021-08-24,333.98
2021-08-25,334.43
2021-08-26,334.75
2021-08-27,333.56
2021-08-31,336.44
2021-09-01,336.24
2021-09-02,335.59
2021-09-03,335.95
2021-09-06,335.46
2021-09-07,336.52
2021-09-08,336.02
2021-09-09,334.45
2021-09-10,331.5
2021-09-13,331.94
2021-09-14,329.79
2021-09-15,329.01
2021-09-16,331.83
2021-09-17,332.04
2021-09-20,326.77
2021-09-21,328.75
2021-09-22,328.41
2021-09-23,330.65
2021-09-24,332.51
2021-09-27,332.94
2021-09-28,331.44
2021-09-29,332.05
2021-09-30,332.27
2021-10-01,326.31
2021-10-04,328.24
2021-10-05,323.27
2021-10-06,323.92
2021-10-07,331.4
2021-10-08,330.72
2021-10-11,330.06
2021-10-12,328.06
2021-10-13,327.08
2021-10-14,328.24
2021-10-15,330.76
2021-10-18,333.64
2021-10-19,334.08
2021-10-20,336.49
2021-10-21,336.71
2021-10-22,338.08
2021-10-25,338.12
2021-10-26,338.41
2021-10-27,341.71
2021-10-28,338.88
2021-10-29,339.88
2021-11-01,345.01
2021-11-02,346.23
2021-11-03,347.55
2021-11-04,351.4
2021-11-05,356.82
2021-11-08,356.15
2021-11-09,355.06
2021-11-10,355.58
2021-11-11,355.51
2021-11-12,355.84
2021-11-15,357.14
2021-11-16,357.04
2021-11-17,358.25
2021-11-18,356.39
2021-11-19,358.65
2021-11-22,358.5
2021-11-23,359.53
2021-11-24,359.64
2021-11-25,361.95
2021-11-26,355.21
2021-11-29,356.07
2021-11-30,354.21
2021-12-01,355.9
2021-12-02,349.51
2021-12-03,354.1
2021-12-06,352.13
2021-12-07,360.43
2021-12-08,364.04
2021-12-09,365.81
2021-12-10,364.44
2021-12-13,364.64
2021-12-14,361.63
2021-12-15,358.77
2021-12-16,365.46
2021-12-17,360.61
2021-12-20,355.5
2021-12-21,357.54
2021-12-22,358.45
2021-12-23,358.92
2021-12-24,361.71
2021-12-29,365.72
2021-12-30,364.84
2021-12-31,364.11
2022-01-04,364.95
2022-01-05,363.47
2022-01-06,356.56
2022-01-07,355.9
2022-01-10,353.63
2022-01-11,353.16
2022-01-12,355.06
2022-01-13,353.71
2022-01-14,348.82
2022-01-17,350.58
2022-01-18,348.25
2022-01-19,345.06
2022-01-20,344.02
2022-01-21,339.58
2022-01-24,334.86
2022-01-25,332.72
2022-01-26,337.0
2022-01-27,333.76
2022-01-28,331.89
2022-01-31,339.68
2022-02-01,343.7
2022-02-02,347.92
2022-02-03,341.63
2022-02-04,340.1
2022-02-07,342.24
2022-02-08,340.22
2022-02-09,344.83
2022-02-10,347.43
2022-02-11,339.56
2022-02-14,333.56
2022-02-15,339.11
2022-02-16,339.0
2022-02-17,336.47
2022-02-18,332.05
2022-02-21,328.42
2022-02-22,329.98
2022-02-23,327.14
2022-02-24,317.88
2022-02-25,327.17
2022-02-28,331.87
2022-03-01,332.62
2022-03-02,334.46
2022-03-03,337.43
2022-03-04,335.14
2022-03-07,334.07
2022-03-08,331.16
2022-03-09,331.23
2022-03-10,331.38
2022-03-11,339.06
2022-03-14,332.24
2022-03-15,329.08
2022-03-16,339.68
2022-03-17,341.11
2022-03-18,343.38
2022-03-21,349.59
2022-03-22,347.46
2022-03-23,350.3
2022-03-24,349.17
2022-03-25,354.04
2022-03-28,355.63
2022-03-29,361.13
2022-03-30,363.06
2022-03-31,361.15
2022-04-01,356.81
2022-04-04,357.49
2022-04-05,359.52
2022-04-06,353.78
2022-04-07,353.11
2022-04-08,355.57
2022-04-11,354.5
2022-04-12,349.36
2022-04-13,350.26
2022-04-14,348.94
2022-04-19,347.41
2022-04-20,351.81
2022-04-21,354.62
2022-04-22,350.73
2022-04-25,343.66
2022-04-26,346.92
2022-04-27,345.24
2022-04-28,351.28
2022-04-29,348.49
2022-05-03,341.38
2022-05-04,345.07
2022-05-05,350.63
2022-05-06,345.59
2022-05-09,337.48
2022-05-10,335.67
2022-05-11,337.87
2022-05-12,332.42
2022-05-13,336.1
2022-05-16,338.17
2022-05-17,337.11
2022-05-18,340.05
2022-05-19,322.41
2022-05-20,325.86
2022-05-23,323.86
2022-05-24,324.07
2022-05-25,325.73
2022-05-26,325.55
2022-05-27,332.56
2022-05-30,342.19
2022-05-31,340.8
2022-06-01,338.77
2022-06-06,341.51
2022-06-07,337.87
2022-06-08,342.54
2022-06-09,339.06
2022-06-10,333.37
2022-06-13,322.85
2022-06-14,320.44
2022-06-15,319.23
2022-06-16,316.17
2022-06-17,310.7
2022-06-20,311.82
2022-06-21,314.5
2022-06-22,312.93
2022-06-23,320.36
2022-06-24,321.08
2022-06-27,329.41
2022-06-28,331.08
2022-06-29,324.76
2022-06-30,321.49
2022-07-01,324.65
2022-07-04,325.61
2022-07-05,328.78
2022-07-06,332.3
2022-07-07,331.49
2022-07-08,336.44
2022-07-11,337.04
2022-07-12,333.77
2022-07-13,331.43
2022-07-14,327.92
2022-07-15,331.06
2022-07-18,336.4
2022-07-19,332.19
2022-07-20,339.54
2022-07-21,342.22
2022-07-22,345.88
2022-07-25,340.07
2022-07-26,341.79
2022-07-27,339.7
2022-07-28,343.12
2022-07-29,349.58
2022-08-01,348.91
2022-08-02,346.39
2022-08-03,347.38
2022-08-04,353.05
2022-08-05,353.73
2022-08-08,354.19
2022-08-09,353.71
2022-08-10,352.57
2022-08-11,356.82
2022-08-12,359.05
2022-08-15,366.27
2022-08-16,369.89
2022-08-17,365.76
2022-08-18,367.05
2022-08-19,370.77
2022-08-22,366.74
2022-08-23,364.3
2022-08-24,362.98
2022-08-25,362.66
2022-08-26,367.43
2022-08-30,359.03
2022-08-31,355.4
2022-09-01,351.95
2022-09-02,355.25
2022-09-05,353.37
2022-09-06,353.79
2022-09-07,353.86
2022-09-08,357.19
2022-09-09,360.55
2022-09-12,360.79
2022-09-13,365.5
2022-09-14,352.5
2022-09-15,355.53
2022-09-16,352.09
2022-09-20,353.44
2022-09-21,352.52
2022-09-22,347.88
2022-09-23,348.16
2022-09-26,354.51
